course_name,course_description
0,['2014年清华大学研究生学位论文答辩（二）'],['学位论文答辩环节是研究生培养的重要环节，为了充分发挥该环节的育人作用，搭建学术交流的平台，进一步保障和提高研究生培养质量，清华大学研究生院从2014年春季学期申请学位的博士、硕士研究生中选取了部分具有代表性的学位论文答辩进行录像，并首次将答辩视频上传学堂在线，以使更多的人能够分享这些资源，搭建更为广阔的学术交流平台。\r\n本学期将会有来自经管学院、五道口金融学院、化学系、马克思主义学院、建筑学院、人文学院、交叉信息研究院、航天航空学院、计算机系、工程物理系、自动化系、物理系、新闻学院等不同院系的二十余名博士、硕士研究生的学位论文答辩视频，涵盖十余个学科。\r\n如果这些视频能对您的学术研究有所帮助和启发，则是我们十分期待并愿意看到的事。']
1,['中医与诊断-学做自己的医生（2019秋）'],['\n\t本课程为国家精品在线开放课程！古人云：为人父母者，不知医为不慈；为人儿女者，不知医为不孝。欢迎学习本课程，真正做一个慈孝之人。来吧，每周学习三小时，健康幸福一家人！ \n\n\n\t\xa0 \xa0 本视频课程共10单元，主要内容有两大块：\n\n\n\t\xa0 \xa0 其一是部分中医理论知识（1阴阳和五行理论、2五脏六腑理论，3气血津液理论，4病因理论等），告诉大家中医说了什么。\n\n\n\t\xa0 \xa0\xa0其二是中医诊断方法（5问诊、6望诊、7舌诊、8脉诊、9闻诊、10切诊），告诉大家中医是如何运用望闻问切的方法进行诊断的。\n\n\n\t\xa0 \xa0 中医诊断方法是本课程的学习目的，中医理论知识是为了更好的理解中医诊断方法而做的必要补充。\n\n\n\t\xa0 \xa0 本课程扩展学习，是针对课程学习中的诊断结果，给出的治疗方案，使本课程不再局限于理论学习，也能让大家将理论运用到实践中。这部分扩展学习将在微信公众号“sunlitcm”中与大家见面。\n\n\n\t\xa0 \xa0 本课程为学习者提供课程视频、电子讲稿、PPT、习题作业、在线测试、交流互动，以及扩展微信学习，使学习者不仅能够了解中医原理和中医诊断方法，而且能够学会运用适当的中医诊断方法来关注自身的健康以及疾病状况，为自身保健，及就医治疗提供一定依据。\n\n\n\t\xa0 \xa0 本课程在每周四晚，老师提供直播教学一小时，为你解答学习中的难点和疑点，全程陪伴你学完全部课程。 \n\n\xa0 \xa0 找个医生做朋友，不如自己就成为懂医的人。让我们一起，进入本课程的学习吧。']
2,['新冠肺炎防控系列微课'],['\n\t为指导大家科学防控新冠肺炎，国防大学职业教育中心积极引进了由国家应急管理部培训中心组织制作的《新型冠状病毒感染的肺炎防控知识手册》系列微课，供大家学习掌握。\n\n\n\t该系列微课为国家应急管理部培训中心联合知学云网站，以应急总医院《新型冠状病毒感染的肺炎防控知识手册》为蓝本，对照参考国家卫健委陆续发布的新型冠状病毒感染的肺炎各防控指南、《新型冠状病毒感染的肺炎诊疗方案（试行第四版）》等官方指南共同制作。\n']
3,['2020军考复习指南6科组合'],['\n\t《2020军考复习指南6科组合》，依据军队招生主管部门发布的《2020年解放军和武警部队院校招生文化科目统一考试大纲（高中毕业生【含同等学力】士兵）》，汇总各科高效复习方法，总结易考考点、疑难考点等内容，针对各科考点常见考试题型进行归纳总结并指导应试技巧，帮助军考考生找准复习方向及复习突破口，助力考生顺利通过军考考试。\n']
4,['高等数学习题课'],['\n\t本课程是微积分课（高等数学课或数学分析课）的补充，旨在使学生熟练掌握与运用微积分知识，体会微积分中所蕴含的数学思想，同时培养学生运用微积分知识处理问题的思维方式，使学生更准确地使用微积分中的数学语言，提高学生将抽象的概念与定理应用到具体的问题中的能力。春季学期本课程主要分为级数，多元函数微积分，常微分方程。\n']
5,['军事理论'],['本课程由军事科学院、国防大学、空军指挥学院著名军事专家杜文龙、徐焰、孙旭、孟庆全、邵志平等人，遵照《普通高等学校军事课教学大纲》（教体艺〔2019〕1号）联袂推出、精心打造。共分8个专题，包括中国国防、国家安全、军事思想、现代战争、信息化装备五大板块的核心内容与重难点问题。本课程自成体系、内容新颖、解读权威，既可作为普通高等学校必修的精品军事理论课，也可供关心关注国防和军队建设人士自主学习。']
6,['Web开发技术'],['\n\t本课程是高等院校工科本科软件工程专业高年级学生学习互联网应用开发技术的一门专业必修课。Web应用系统的开发涉及到.NET、JAVA EE、LAMP等开发平台、涉及到Myeclipse、Visual Stusio等多种开发工具、涉及到Javascript、C#、JAVA、python等多种开发语言。主要开发技术包括HTML、CSS、Javascript、HTML DOM、Jquery、XML、XML DOM等Web前端开发技术，还包括JSP、PHP、ASP.NET、ADO.NET、Web Service、Ajax等Web后端开发技术。Web开发的初学者往往会无所适从，不知道从哪儿下手，本课程将引导学生构建整个Web开发的知识体系，循序渐进地将学生领进Web开发的大门。在学习Web开发基本概念、Web开发环境搭建和Web开发工具的使用基础上，通过实际案例讲授HTML、CSS、DHTML、Jquery、XML、ASP.NET动态服务器页面技术(包括Web form控件、内置服务器对象、ADO.NET数据库访问、Web service）、Ajax等技术，使学生掌握开发一个完整的Web应用系统的基本原则、方法和步骤，提高学生应用Web技术进行软件开发的能力，从而使学生具有扎实的Web开发理论基础和较强的实践动手能力。\n']
7,['医学伦理学'],['如果人终将不可避免地经历疾病、痛苦、衰老直至死亡，医学的目的应该是什么？如果每个人都是文化传统和个人际遇的复杂糅合体，“应该”如何将最佳医学手段与个体价值和愿望达成一致？如果损害一个人的健康利益可能造福全人类，医学是否“应该”毫不犹豫地忽略这个人？……医学必须回答的“应该”的话题就是医学伦理学话题！\n医学伦理学探讨医事行为的系列道德原则，包括医生与病人、同道、社会之间的关系。当代医学伦理学教育不仅继承了传统医学的价值观和美德体系，还将科技与伦理结合起来，让医生能够从医学、社会科学和人文科学的视角来检视科学、政策和社会变革所带来的道德问题，将伦理思维内化为医学诊疗工作的有机组成，为病人提供适切的、人性化的医疗照护。\n本课程帮助学生对理解医学中不可或缺的伦理学内涵，介绍各个时代的医德关系和医德现象，揭示医德的起源、本质、作用和发展规律，并探讨当代生命伦理学的发生发展；再通过研讨和分析医学伦理学的系列观点、理论和原则，结合我国社会主义医疗体制改革过程中出现的现实问题，对现代医疗实践中出现的道德难题进行较为深入的探讨，教育和引导学生加强医德修养，培养良好的道德品质，作一名高尚医德的医务工作者。\n\n\t\n']
8,['计算思维和数据科学导论'],['6.00.2x 是针对有着 Python 编程经验和计算复杂性有着初步了解的学生们而设定。我们更倾向于知识的宽度而不是深度。目标是帮助学生简要了解更多内容，以便他们在以后事业发展过程中需要考虑如何用计算法完成某些目标时，能有些许概念。也就是说，这并非是一门“精深计算法”课程。学生需要花费相当时间编写程序，以实践课程所涉及的理念。内容包括数据绘图、随机程序、概率和统计、随机游动、蒙特卡洛模拟算法、建模数据、优化问题和集群。 如果你成功完成本课程，你将获得： 从模糊的问题陈述到解决问题的计算表述的过程中，培养研究能力。 学习一系列有用的算法和约简问题技巧， 学习如何使用模拟技术，阐明使用闭式解不易解决的问题。 学习如何使用计算工具，具体包括简单统计和机器学习、数据绘图工具、模块和理解数据等。 所有要求的阅读内容均可从课件中找到，经 MIT 出版社许可使用。本课程的印刷教材《计算机科学和Python 编程导论》也可购得。']
9,['食物营养与食品安全'],['《食物营养与食品安全》是基于以素质教育课推动学科建设的理念发展与成熟起来的一门课程。食物营养、食品安全不仅具有很强的社会属性，而且还具社会实践性和应用性；与人们的生活息息相关，与社会、经济、文化以及环境与生态系统紧密联系。本课程内容包括：膳食营养平衡，营养、运动与健康，营养不良与食养食疗，营养食谱的编制，常见饮食误区及解决方案，食品安全，人人有责，把好病从口入关，食品安全热点问题与防范等。从食物中对人体有益的成分及人体摄取和利用这些成分维持、促进健康的角度出发，安排好一日三餐，饮水和零食。以保证食品安全，保障公众身体健康和生命安全的《中华人民共和国食品安全法（2015）》为依据，营造人人关心、人人维护食品安全的良好氛围。']
0,['新冠肺炎防控系列微课——使用消毒产品的安全提示'],['\r\n\t为指导大家科学防控新冠肺炎，国防大学职业教育中心积极引进了由国家应急管理部培训中心组织制作的《新型冠状病毒感染的肺炎防控知识手册》系列微课，供大家学习掌握。\r\n\r\n\r\n\t\r\n\r\n\r\n\t该系列微课为国家应急管理部培训中心联合知学云网站，以应急总医院《新型冠状病毒感染的肺炎防控知识手册》为蓝本，对照参考国家卫健委陆续发布的新型冠状病毒感染的肺炎各防控指南、《新型冠状病毒感染的肺炎诊疗方案（试行第四版）》等官方指南共同制作。\r\n']
1,['算法设计与分析'],['\n\t\xa0 \xa0 \xa0本课程系统介绍算法设计与分析的方法和理论，包括算法基础、图、贪婪算法、分治、动态规划、网络流、计算复杂性初步、近似算法及随机算法等。同时，本课程还包含算法领域的一些前沿课题和最新进展。本课程可以作为数学、计算机等相关专业的研究生和高年级本科生关于算法理论的基础课程。\n\n\n\t\xa0 \xa0 \xa0 算法设计与分析是计算机科学及运筹学的一门基础性课程，在清华大学数学系已经开设了10几年的时间，一般在秋季学期开设，4学分64课时，有来自数学系，计算机系，工业工程，经管学院及一些工科院系的研究生和高年级本课程选课，选课学生比较踊跃，课容量多次扩大，目前选课人数在50人以上。学生普遍反映课程内容精彩、有用、有趣。在算法广泛应用和飞速发展的时代，学生通过对这门课程的学习，进入了算法领域，掌握其基本理论和方法，提升思维方式，为今后的学习、科研和工作打下坚实基础。\n']
2,['组织行为学——如何有效管理员工行为（2018秋）'],['你想成为优秀的管理者吗？你在为如何激励员工而烦恼吗？你想有效管控下属行为吗？你在为如何打造一支高绩效团队而发愁吗？欢迎来到《组织行为学》MOOC课堂，王淑红副教授将以清晰的逻辑、生动的案例、风趣的语言带你来一段“烧脑”之旅，一起来解开管理情境中员工行为背后的密码！']
3,['云计算与软件工程'],['CS169.1x讲授设计可持久化软件的基础知识，利用敏捷开发技术以及 Ruby on Rails 来开发云服务 (SaaS)。 学生们将了解 SaaS 对抗成品软件的新挑战和机遇。他们将了解并将基础编程技术应用于一个简单的 SaaS 应用的设计、开发、测试及公共云部署。学生们将使用同类最佳的工具，支持行为驱动设计、用户故事、测试驱动开发、快速及结对编程等现代开发技术。学生们将学习如何利用元程序设计和反射机制等现代编程语言特性提高编程效率和代码可维护性。 学生们将进行每周编程项目和测验。成功完成作业且分数合格者将获得荣誉证书。 本期课程将使用2013年10月修改后的全新视频、两项新课外作业和全新考题。 学堂在线对此门课程进行了完全的汉化，包括中文字幕、中文习题等。同时清华的助教将全程进行中文答疑和辅导。']
4,['《道德经》的智慧启示'],['\r\n\t本课以老子《道德经》八十一章为蓝本，以“知人论世”的方法生再现老子《道德经》的成书过程，旁征博引地讲评了老子《道德经》对道家、养生家、医家、兵家、法家、政治家等诸家文化的思想影响及其在世界历史文化的地位。在全面系统地对《道德经》全部八十一章逐章讲解的基础上，以《易经》的原理深入浅出地阐释《道德经》深刻义理的丰厚文化根源，从《尚书》“风草以喻君民之德”的思想轨迹导出老子《道德经》“上善若水”的思想流脉，在对中国“水德”文化的历史衍变梳理中揭示老子《道德经》“上善若水”的思想与“上善若风”文化本质的一脉相承，在此基础上运用《易经》“中孚”原理揭示中国“风水”文化的真正义理所在。同时，本课高度概括地对《道德经》八十一章所总结的101种智慧启示，既针对学生自身的生活体验程度与知识结构特点，侧重于学生在把握规范尺度、辩证认识主客、谨言慎行修身、虚怀若谷情怀、宠辱不惊气度、和光同尘韬略、道法自然思维、道者不兵形象、平中见奇内涵、无中生有创造、锻炼养生适度、谦逊卑下不争、无私奉献精神、甘于寂寞生活、永葆童真趣味等方面进行自我修为指南，又在无为而治、奇正双修、察古鉴今、重腹轻目、抓大放小、以贵下贱、尊道贵德、让利于民、战执无兵、敢于不敢、以柔克刚、大成若缺等《道德经》的智慧启示的阐释中，开阔学生对国家治理、军事战争、文化传承、国际交往、君民关系、创意创造、为人处事、修身养性、养生健体等治国安邦理念的文化视野，更在对老子《道德经》所蕴涵的“柔道、泰道、否道、兵道”等“老子四道”对个体修为与家国治理的老子“无为而治”的道家文化总结中，升华学生对老子《道德经》作为“万经之王”、“帝王之书”的感性顿悟与切身体会，达到“一卷《道德经》在手，天下万事皆洞晓”的思想境界，达到“得道多助、唯道是从、道者无敌”的生活、学习和事业的辉煌高度。\r\n']
5,['走近冬奥会'],['\n\t本课程将全面系统地展示冬季奥林匹克运动从历史渊源直至现代发展的优美画卷，从中感受到冬奥会的丰富内涵和独特魅力。\n\n\n\t\n\n\n\t\n']
6,['大数据算法基础'],['本课程提出了“知算法、懂算法、遇到问题找算法”的建设目标，旨在培养研究生掌握大数据系统与大数据处理中的基础计算方法，提升用数学理论求解大数据实际问题的能力，为寻求大数据系统与相关应用领域中实际问题的最优求解方法建立基础。课程由大数据基本算法知识、高级大数据算法设计以及相关专题三部分组成。大数据基本算法知识讲述大数据算法概述、算法分析数据基础、概率分析基础、随机算法基础、抽样算法基础等；高级大数据算法设计包括图算法、流计算、链接分析等；相关专题包括多线程计算、近似算法等。']
7,['数学实验'],['\r\n\t\xa0 \xa0  \r\n\r\n\r\n\t\xa0 \xa0 \xa0 洗衣机要洗涤几轮，衣服才能洗干净？既要瘦身，又要身体健康，膳食如何搭配？买手机选择分期付款还是一次性付款？出行时搭公交还是坐地铁？……这些与我们的生活密切相关的问题都可以用数学实验加以解决。该课程将引导你学习和应用功能强大的科学计算软件MATLAB和插值、拟合、微分方程、数学规划、图论等数学建模知识，提高学习者运用数学知识同时借助于软件工具分析和解决实际问题的能力，培养创新意识和创新能力。\r\n\r\n \r\n\r\n\t\r\n']
