job_title,job_responsibility
18428-财付通系统测试工程师（深圳）,"负责金融科技和移动支付方面的功能、性能、安全等测试工作，挑战如微信红包等海量业务系统。负责微信支付，QQ钱包等平台级支付产品的系统测试工作，参与项目研发全流程。
参与软件项目的需求分析，关注项目需求的合理性，可测性； 
参与重大产品需求和架构设计评审，保证产品设计与架构的合理性； 
设计合理的测试用例，并能参与到具体的测试执行工作中，跟进缺陷的fix、质量复核，能引入比较好的思想和方法，保证产品的质量； 
参与自动化用例的编写，设计&参与产品的性能、安全测试，解决测试过程中的复杂技术问题； 
根据产品研发的实际情况，改进or设计软件质量保证体系，并推动落地实施； 
通过测试相关流程、策略、方法和工具等创新，提升测试的质量和效率。"
30361-光影研究室-AI能力工程化后台开发工程师,"负责视频、图像等场景AI项目后端服务开发；
系统开发、技术攻坚和性能优化；
基础推理架构组件开发和优化；"
18428-区块链系统测试工程师,"1、负责腾讯区块链产品的功能、性能、安全、自动化等测试工作，参与项目研发全流程。
2、参与项目的需求分析，关注项目需求的合理性，可测性；参与重大产品需求和架构设计评审，保证产品设计与架构的合理性；
3、编写自动化用例、测试工具及平台等，提升测试质量及效率；
4、深入了解区块链相关知识，参与研究并攻克区块链测试领域的关键技术挑战，建立区块链的测试体系；"
18428-风控系统测试,"负责风控、监管相关的系统测试
1. 测试用例设计、执行，缺陷提交、解决跟进，自动化用例编写、维护等测试相关的基础工作
2. 解决测试测试过程中的技术问题&低效问题
3. 测试方法的预研，设计，及实施落地
4. 参与产品需求、架构设计评审
5. 参与研发流程改善、研发效率提升的相关工作"
30361-人脸算法研发工程师,"1. 负责人脸检测、配准、跟踪等关键技术研究；
2. 负责人脸相关技术和产品的研发和落地。"
30361-计算机视觉算法高级研究员,"1. 负责深度学习、图像理解、机器学习等前沿技术的研究，保持行业领先水平，持续突破技术上限；
2. 负责计算机视觉和深度学习算法的开发与性能提升，涉及到的主要问题包括但不限于：视频，图像精细化人景分离算法，体态识别，手势识别，物体追踪等； 
3. 提出和实现最前沿的算法，保持算法在工业界和学术界的领先。"
25664-智慧城市架构师（长沙/成都/贵阳/武汉/福建/深圳）,"负责向政务行业（智慧城市）客户提供业务咨询、技术咨询、规划、设计等专业服务；
负责项目售前阶段的需求分析、方案交流、方案设计、概念验证、招投标等工作； 
透彻分析行业态势，结合腾讯云技术与产品优势，制订行业拓展策略与打法； 
赋能生态合作伙伴，进行方案的培训和宣讲。
"
30361-深度学习GAN（生成对抗网络）研究员,"工作职责：
1. 负责生成对抗网络（GAN）在风格迁移、人脸表情动作生成、人脸编辑等相关算法的研究与开发；
2. 负责生成对抗网络（GAN）等新技术的应用落地和探索。
3. 深度学习核心算法（CNN、RNN、GAN等）的研发；
4. 与产品开发团队协作实现公司核心算法平台的技术迭代与优化，完成产品开发周期的升级迭代。"
30361-人脸三维重建算法研究员,"1. 负责移动端单目摄像头人脸三维重建相关技术的算法研究；
2. 负责移动端人脸3D美妆、3D光照、Animoji相关技术的算法研究；"
30361-图像美化算法研究员,"负责移动端图像和视频处理算法研究及技术攻坚；
负责算法落地及性能优化；
持续跟踪业界前沿论文；"
25925-成长守护平台iOS开发工程师（深圳）,"根据要求独立完成基于iOS平台进行应用程序开发设计、调试工作；
根据项目任务计划独立按时完成软件高质量编码和测试工作；
规范文档的编写、维护，以及其他与项目相关工作；
按照开发流程编写相应模块的设计文档；
按时按需完成客户端软件的维护及更新。"
WXG04-小游戏商业化高级产品经理,"负责微信小游戏商业化运营，制定相关运营策略，促进小游戏广告，道具商业化的效率，对收入负责；
对休闲游戏广告/内容市场、变现需求及行业趋势进行深入研究，挖掘商业机会；
小游戏道具收入提供支付工具，数据信息，资金周转工具，提高道具收入规模；
对数据敏感，善于从数据中发现问题，并给出解决思路和节奏，完成落地；
跨团队协作，协调多方资源，确保项目顺利推进。

"
WXG04-微信增值业务iOS开发工程师,"微信增值业务包括微信精品游戏，小游戏，游戏圈等业务，包括Web前端和终端开发；
iOS端开发的工作内容是开发增值业务相关需求，完善前端业务的浏览器运行框架，不断提升性能，质量，优化自己的工作。"
22989-腾讯云平台高级产品经理,"负责腾讯云官网控制台、账号业务以及相关平台能力策划工作；
负责官网控制台、账号能力需求策划、需求文档撰写，以及需求的合理执行与落地；
负责与腾讯云各类云产品对接，协助并推动控制台框架升级、账号能力接入、流程体验优化等工作；
"
25664-后台开发工程师,"负责ToB，ToG协同产品后台模块设计和开发；
负责产品后台新功能迭代开发，保证按时高质量项目交付；
撰写相关技术文档，以及跨团队协作。
"
25664-高级质量管理工程师,"1. 负责研发质量管理流程的建设，负责组织相关流程的推行； 
2. 负责对产品的研发质量进行度量，分析和考核； 
3. 负责在产品研发过程中发现、收集、暴露质量问题并推动/跟踪问题的解决； 
4. 负责组织及试点流程及质量保障实践活动的开展,并对活动的效果进行评估； 
5. 对已颁布流程进行监控以保证其执行，反馈执行情况，并对此过程中发现的问题给出解决建议； 
6. 帮助所负责的产品项目整理输出其缺失的流程并跟进落实流程的执行，帮助产品项目团队提升质量。
"
33370-出行行业运营经理,"工作职责：
1. 梳理出行/汽车行业客户情况，分析行业切入机会点及跟进策略；
2. 思考产品的市场定位及商业模式，负责产品商业化；
3. 定期分析行业经营数据，优化云及行业产品的销售策略；
4. 拉通内部团队间的合作，通过规则与流程的优化、工具建设等方式提升合作效率。"
WXG03-小程序行业后台开发工程师（广州）,"负责微信城市服务、公共服务领域及各垂直行业的平台能力及行业项目的小程序后台开发工作；
共同参与产品设计，负责新特性的后台系统设计与实现；
在这里，除了基础技术提升之外，还能学习到不同行业的行业知识，并且可以提升自己的对外沟通能力、协调能力、项目推进能力，扩大自己的职业广度、积攒更多的人脉。"
HY6-UI开发(重构),"1、负责PC/移动端Web/小程序等页面重构工作，结合业务目标，保障设计理念还原和效果实现；
2、参与开源、效率提升工具与创新等项目的研发。"
22989-专有云产品运营,"负责专有云产品的数据体系建设、效能提升、生态、市场营销、品牌运营等；
专有云产品的营收和成本管理，为产品优化提供方向和数据支撑，持续优化创新，提升产品综合竞争力；
专有云产品的运营平台建设，业务规范和流程标准化，提高销售流畅度，提升运营效率； 
负责合作伙伴的引入，维护，制定合作伙伴协作机制，确保合作顺畅；
通过市场运营活动、品牌营销，提高产品的营收、提升产品在行业的影响力。
"
23292-互娱英雄联盟创意指导,"负责英雄联盟游戏的产品、品牌的广告素材的创意、设计以及监制；
负责视频或平面广告制作的前期策划、技术难度评估、监控；
负责相关供应商资源的开发与维护。
 
"
23295-互娱高级前端开发工程师,"1.开发移动游戏社区项目（包括pc端和移动端）相关web页面；
2.编写与后端联调的JS代码；
3.解决各种浏览器之间的兼容性问题；
4.解决web页面性能问题；"
23295-互娱媒介经理（腾讯广告运营管理方向）,"1、通过搭建腾讯内部媒体管理运营体系，为腾讯游戏持续引入新用户，满足产品品牌营销推广的诉求；
2、负责腾讯游戏在腾讯效果广告投放优化执行及优化团队管理，实现广告投放效率提升，成本优化及方法沉淀；
3、负责腾讯游戏在体系内的品牌广告投放管理工作，通过各媒体沟通及谈判为腾讯游戏持续提供品牌营销解决方案；
4、负责腾讯游戏在腾讯广告的资源创新拓展、媒体创新合作；"
20503-优图解决方案架构师-泛互联网/出行/金融方向,"1、负责行业大客户的业务以及宏观技术沟通
2、面向行业通用需求，负责视觉AI在行业价值挖掘，联动腾讯优势产品，设计行业方案； 
3、根据业务需求，负责系统架构设计。 
4、负责产品生命流程中相关文档的设计、撰写，负责内部培训与产品推广;
5、负责产品运营，完成营销资料的撰写和整理. 
6、参与项目运作。"
30622-腾讯广告信息流与QQ广告web前端开发工程师,负责部门广告系统运营平台开发，负责运营平台前端架构和技术研究。
TB-Senior Fund Partnership Manager,"Responsibilities:
-	Act as the spokesman for the fund by well presenting fund’s financial and operational performance to existing and prospective limited partner investors
-	Compile data and relevant information to develop and deliver investor relations materials
-	Manage the relations with limited partner investors by delivering accurate and clear communications in a confident manner
-	Play as an effective bridge between internal teams and existing limited partner investors by timely responding to inquiries from investors
-	Contribute to developing communication strategies by proposing ideas to improve the effectiveness of communications with investors
-	Assist with the coordination of investors events and annual meetings
"
30623-腾讯广告联盟广告Web前端开发工程师(北京）,"负责联盟广告业务前端、开发者与运营平台前端开发，满足广告效果需求，追求极致用户体验；
负责联盟广告前端系统分析、技术优化和架构工作；
负责高质量编码设计，承担业务重点技术攻坚，保证高可靠、高性能、高可扩展的业务支撑；
与大前端团队(Android/iOS/Web)配合完成整体项目规划、设计与开发、推动并优化已有前端项目的基础架构与组件抽象。"
19332-企业产品Android开发（上海）,"负责腾讯企业产品的 Android 端研发；
和产品经理协作，根据产品需求进行 Android 产品的开发，高质量实现业务逻辑；
参与应用架构设计、开发、性能优化等工作；
持续不断的改进用户体验，负责相关新技术新架构的实现；
配合leader完成团队的日常管理工作；"
15573-高级2D原画设计师(上海),"负责游戏的高品质美术插图设计（场景、角色），整体氛围的制作和输出；
负责3D角色静帧、CG场景等高质量润色修图等工作；
能按照脚本描述或IP剧情快速绘制分镜和概念设计，有影视项目绘制经验优先；
外包资源的审核修改，统一风格，负责优化美术宣传素材以及不断提升项目美术品质。"
CSIG08-移动客户端开发,"根据要求完成各种终端组件的开发设计、调试工作；
根据项目任务计划独立按时完成软件高质量编码和测试工作； 
规范文档的编写、维护，以及其他与项目相关工作； 
按照开发流程编写相应模块的设计文档。"
18436-金融风控算法高级工程师,"1.基于支付海量的用户、商户、交易信息和行为等数据，探索构建金融场景全生命周期的风控体系，深度参与风控策略和模型的开发，为消金、供应链金融等各种金融业务提供丰富、可靠、便捷的金融风控服务；
2.基于支付及相关的海量大数据，应用大数据和机器学习技术，开发信用、反欺诈、准入、定价、催收等信贷风控策略； 定期对各类风控策略的执行情况监控检查，并不断优化，确保各类策略落地执行符合预期； 
3.对用户的营销分析和建模有一定的经验，包括但不限于定量实验、续贷、预警、调额、交叉营销等； 
4.通过对异常用户、异常商户、异常团伙、异常设备等进行挖掘，实现金融黑产的有效预防和对抗；  "
30623-腾讯广告联盟后台开发高级工程师（北京）,"负责腾讯联盟广告系统及算法的开发和优化；
负责参与广告产品设计和实现，满足不断涌现的产品运营创新需求；
为流量运营团队设计和提供各类管理优化工具；
基于海量数据做业务洞察分析。"
15581-开放大世界MMORPG后台开发,"工作内容：
1. 无缝大世界战斗、视野等核心功能设计、优化
2. 真3D后台场景搭建、寻路优化
3. 游戏后台架构设计与搭建
4. 通用编辑工具设计与实现，例如AI编辑器、技能编辑器、玩法编辑器等。
5. 其他功能开发和性能优化等"
29315-腾讯视频MCN业务HRBP,"1、	负责MCN相关业务团队的人才招聘工作，关注新人的融入与培养； 
2、	严格遵守绩效考核制度，完成绩效的实施与反馈；
3、	结合业务实际需求，制定薪酬预算，设计和落地适配的薪酬激励方案；
4、	协助管理层进行人才管理、团队发展、组织氛围建设等，确保公司文化在所属业务领域的落地；
5、	负责业务团队其他各项HR政策、制度、体系与重点项目的落地与推动执行。


"
29569-金融AI资深计算机视觉研究员（深圳/香港）,"•	主导腾讯金融科技在银行应用领域的应用研究和构建，如eKYC
•	推动计算机视觉算法和在银行和金融科技应用领域的场景落地和性能优化
•	成为金融科技相关的AI基础研究的核心，内容包括计算机视觉，语音处理，NLP
•	协助构建AI实验室，与学术界合作，提出和实现最前沿的算法
"
29569-金融AI高级计算机视觉算法工程师（深圳/香港）,"•	负责腾讯金融科技在银行应用领域的应用研究和构建，如eKYC
•	推动计算机视觉算法和在银行和金融科技应用领域的场景落地和性能优化
•	成为金融科技相关的AI工程团队核心，内容包括计算机视觉，语音处理，NLP
"
29569-金融AI高级计算机视觉算法工程师（深圳/香港）,"•	主导腾讯金融科技在银行应用领域的应用研究和构建，如eKYC
•	推动计算机视觉算法和在银行和金融科技应用领域的场景落地和性能优化
•	成为金融科技相关的AI基础研究的核心，内容包括计算机视觉，语音处理，NLP
•	协助构建AI实验室，与学术界合作，提出和实现最前沿的算法
"
13654-产业经济高级研究员,"及时跟踪、了解、分析国内外互联网行业技术趋势及发展动向， 研究行业长期趋势；
结合公司战略和具体产品需求，制定技术/产业/区域经济/政策和规划的专项研究计划，输出研究成果；
参加行业会议、学术研讨，帮助各界更好理解互联网产业发展趋势和规律、理解新技术、新产业和新的经济形态。
"
25666-华东区域销售（泛金融方向）,"负责华东区域金融/泛金融 客户的市场拓展。
维护客户关系，合作伙伴协作管理，行业、产品和销售等相关策略制定； 为客户提供最佳互联网+金融行业的专业服务和解决方案；
能够聚焦行业热点，挖掘、跟进和管控项目，以达成公司制定的任务目标和KPI考核。"
21309-教育子公司--公关经理（深圳）,"1、 负责腾讯在线教育（腾讯课堂、企鹅辅导、Abcmouse）社会化传播体系构建、策略制定；
2、 负责腾讯在线教育社会化传播规划及执行，包括日常及重大项目；
3、 事件营销、微博、微信、视频、H5、海报等传播创意执行；
4、 辅助跟进传播项目管理及跟进。
"
37091-MMORPG手游高级数据分析师（深圳）,"对游戏数据相关工作负责，通过数据分析和数据挖掘，找出游戏的问题，调优建议和方向；
负责游戏数据分析体系搭建，包括TLOG埋点、日志上报、分析系统的规划等；
负责游戏目标用户分析、数据预估、用户调研等，为运营计划及市场方案提供依据；
负责游戏上线及版本更新时的效果分析，包括：留存及流失分析、付费分析、功能玩法分析、用户满意度调研等；
通过数据监控游戏中的各种动向与产品健康度，及时发现不良运营情况。"
33370-AI智能信息流产品运营-内容运营,"负责制定车主内容运营策略、执行、分析确保运营目标的实现；
负责建设各个垂直领域新热爆及优质内容，同时能够通过数据分析与需求洞察，追踪运营效果并协同建设内容库；
负责内容PUSH，通过监控各品类效果，提升活跃用户、激活流失用户。
负责专题及事件策划，定期输出专题及事件活动总结。
规范业务运营流程，负责协调产品及内容运营的工作，共同完成运营目标。"
15616-高级UI设计师（上海）,"负责一款日漫风格游戏整体UI视觉风格设定，把控整体UI设计效果 
提升UI品质，负责制定相应的制作规范和标准
负责与策划、程序同事沟通在游戏中效果及实现方式。"
36242-金融风险系统产品经理," 负责金融风控板块的系统规划及落地实施，所涉及的系统内容，包括但不限于资产端全流程风控管理、资金端投资者适当性管理；
负责设计并搭建风控监控及数据分析平台，将财富管理平台的风险管理做到系统化、自动化。
负责探索新技术（如AI模型、区块链）在风控场景的应用可行性，设计相关的风控工具，提高风控效率，降低人员成本。
"
37091-RPG手游运营（本地化）,"负责与开发商沟通对齐产品核心玩法设计及游戏内容调优，跟进版本进度和内容验收，定位问题并找到解决方案； 
负责评估和调整游戏内商业化结构，道具定价，付费模式等方面内容，针对项目运营节奏及运营数据，制定商业化方案； 
针对产品运营数据进行分析及挖掘，输出结论及报告并输出应对建议； 
负责围绕不同RPG阶段制定产品游戏运营活动和商业化活动计划及方案，做好整体把控及目标达成；
负责ARPG/ACT品类的研究：保持对于品类游戏的体验和视野，将优秀的产品和设计有效沉淀，融合到对于项目的内容把控中。"
37091-MMO手游渠道运营,"负责MMO产品各渠道及外发平台合作方案、规划制定，根据游戏不同生命阶段，制定基于平台用户属性、流量能力的个性化运营方案，不断提升运营效率及用户导入效率；
根据项目特色与内部平台进行合作构思活动并跟进执行，对活动形式进行持续优化，利用平台资源优化提升活动效果；
把控游戏从筹备、轻测、预热上线到成熟运营节奏，推动平台运营计划的实施并定期汇报平台运营状况，共同完成项目目标；
保证渠道良好合作关系，挖掘新型合作机会，协调和解决执行中出现的问题，及跨部门的沟通协调。"
30359-欧拉-数据中台产品经理,"1、负责PCG数据中台的产品设计工作，为PCG为各业务线数据赋能；
2、 根据各业务团队的实际场景，抽象出通用化的解决方案，规划产品设计蓝图和发展路线图；
3、 负责平台的需求分析，需求管理，需求跟进，产品设计和产品迭代等工作；参与平台推广和运营工作；"
20354-人脸安全研究员（腾讯云全资子公司）,"1. 负责对于人脸检测与识别相关系统的分析及实现；
2. 负责对于活体检测/对抗样本检测等攻击、防御手段的研究及实现；
3. 负责相关算法的预研、算法设计、编码和实现，以及文档的书写等整套流程。"
20354-云安全安全技术研究员（腾讯云全资子公司）,"1、负责跟踪与研究相关黑产技术。
2、进行安全攻防技术研究；
3、跟踪国内外信息安全动态；
4、测试产品安全性，撰写相应报告；
"
15687-平台项目管理经理（重庆）,"负责游戏工作室美术中台的美术/设计资源的协调与管理，确保与中台人员及各干系人顺利协同工作； 
协助项目组与中台进行工作计划的制定，跟踪和维护，确保需求按计划完成； 
负责供应商管理以及进度跟踪和控制；
协助统计和分析供应商数据, 定期发布报表帮助项目组优化生产流程, 针对痛点给予解决方案；
协助撰写PRD、原型设计等文档；
协助供应商管理系统的设计、规划和后续迭代。"
36811-腾讯新闻Golang研发工程师 ,"参与腾讯新闻客户端后台业务系统设计、开发与实现； 
结合需求设计实现安全、稳定、高伸缩性、高性能、易维护、易用性好的业务系统； 
根据系统发展，对技术架构不断调整，持续优化。"
15575-《圣斗士星矢》游戏市场运营（成都）,"结合版本与市场节点制定版本宣发方案，营造运营节奏与氛围，传递IP，让玩家保持对游戏的关注；
根据版本宣发方案，输出高质量的PGC教学、产出同人素材，以提升玩家对新内容的认知、提升社区传播；
结合产品节点有效投放平台资源、拓展新兴渠道、拓展联动合作，为游戏大版本提供曝光、置换资源；"
WXG08-122 微信NLP算法工程师（搜一搜）（深圳）,"1. 负责自然语言处理的算法研发，包括但不限于文本分类、语义相似度计算、新闻热点识别、文本聚类算法等。
2. 负责NLP前沿问题的研究，结合未来实际应用场景，提供技术解决方案。"
PCG19-腾讯视频内容后台产品经理（北京）,"负责腾讯视频短视频内容生态体系的产品建设；
与各个业务方协同合作，规划业务方向，构建产品机制并推动落地执行；
能够独立完成产品规划，与设计、运营、开发、测试等团队紧密合作，驱动业务实现目标；
深度挖掘创作者的痛点，为不同的创作者设计并提供优质的产品功能和服务。"
30628-腾讯广告投放平台web前端开发工程师（深圳）,"- 负责腾讯广告投放管理系统的 Web 前端开发，确保产品良好的用户体验和可用性。

"
30933-AOV 2D场景设计师（深圳）,"手游项目角色风格和画面表现工作，对产品美术品质负责；
负责输出高品质场景设计；
负责游戏内场景表现跟进；
负责游戏概念世界观设计；
负责游戏项目内资源管理。"
30933-AOV 资深特效设计师(深圳),"负责游戏中特效的设计和制作,包括角色特效、UI特效、场景特效等；
负责外包资源的审核修改及外包团队的培养，有能力把控整体游戏特效节奏和风格。"
22989-云原生容器解决方案高级架构师（深圳、北京、上海、成都、西安),"深入了解各行业对Kubernetes和腾讯公有云容器技术的需求，针对业务场景设计系统架构、提供解决方案；
与研发、产品及行业架构师合作，对客户解决方案进行梳理并整理为腾讯云最佳实践；
对用户和客户进行解决方案和最佳实践的宣讲和布道。"
30628-腾讯广告创意后台开发工程师（深圳）,"1、负责腾讯广告，创意中心，视频制作工具的网页后台开发工作。
2、负责视频工具的渲染模块开发与性能调优 

"
25664-后台开发工程师,"负责ToB，ToG协同产品后台模块设计和开发；
负责产品后台新功能迭代开发，保证按时高质量项目交付；
撰写相关技术文档，以及跨团队协作。
"
25663-Senior BD Manager-Overseas（深圳/北京）,"负责腾讯云与智慧产业事业群国际战略合作伙伴的业务拓展与关系维护，基于腾讯整体业务发展需要，引入有竞争力企业产品与服务加入腾讯生态圈，并通过设计有针对性的合作项目，确保战略合作的成功落地。
负责战略合作伙伴的选型，合作方案的设计，合同条款的谈判与签署。
负责协调腾讯内部产品、运营、市场等多部门资源对接与合作伙伴的项目合作，并与腾讯销售团队协同达成年度销售目标。
作为腾讯与战略合作伙伴的接口，负责维护与战略合作伙伴的各业务部门与C level高管合作关系，提升腾讯在合作伙伴的业务占比。

"
29777-腾讯云企业业务研发工程师（深圳）,"深入挖掘交通/工业/能源等传统企业行业客户需求推动产品改进及行业产品孵化，建立行业客户标准化方案并可落地；
负责腾讯云工业/交通/能源等传统企业平台产品后台服务框架设计与开发工作；
对产品及项目落地中现网问题跟进，疑难问题攻关。"
25928-语音传输开发高级工程师（深圳）,"负责多媒体传输后台相关技术开发和平台建设；
负责多媒体数据传输，延迟抖动优化，负责传输服务平台构建。"
36321-前端开发工程师,负责富媒体（视频，图文，UGC类）类安全管理审核平台的建设和研发工作，确保相关系统的稳定可靠运行； 参与系统的需求分析、评审、运营及业务运维；负责运营的问题反馈快速响应，跟进和解决；要求积极主动，能抗住压力；
S2-海外ERP高级技术运营工程师（深圳）,"负责海外ERP及相关系统的日常业务运营和月结支持工作；
参与海外ERP项目的需求收集、方案制定及相关实施工作；
收集系统运营过程中存在的问题，进行定期反馈并推动解决；
参与运营支撑工具的规划设计及优化工作。"
15665-高级商业分析经理（深圳）,"负责工作室群宏观策略分析，支持管理层决策；
研究国内外游戏行业趋势与动态，跟进行业亮点热点，产出行业分析报告；
跟进游戏相关领域及前沿科技领域机会，产出市场洞察与深度观点；
跟进竞争对手动态，产出竞品分析及应对策略。"
15665-高级游戏研究经理（深圳）,"深度体验国内外热门游戏、新游戏，体系化拆解游戏玩法，并产出产品分析；
跟进自身产品及竞品市场表现、游戏内运营活动、游戏外直播与电竞等生态最新动态，并进行评估;
定期产出游戏市场各细分品类、赛道研究报告。"
15851-游戏音频设计师（深圳）,"负责腾讯光子工作室群旗下的：
 游戏声音设计；
 声音资源的创作和编辑；
 音频在游戏中的播放；
 给视频制作音频。"
15573-高级视觉设计师（上海）,"负责游戏产品运营的平面视觉风格制定，能够根据游戏特点找到发力点完成设计，关注用户反馈与沟通，根据分析结果持续优化设计；
负责游戏产品营销创意视觉表现设计（平面、H5、动态视频等），项目的运营美术设计流程和方法制定；
参与团队视觉专业建设，协助维护品牌设计规范、衍生品设计及线下搭建活动的美术指导等； 
与运营部门审核外包平台的美术素材品质，给予专业性指导；
统筹规划游戏项目内平面素材资源，进行创意性的方案执行。 
"
21229-PC游戏客户端开发工程师(上海),"独立负责客户端业务模块的开发；
维护游戏已有系统，适当进行重构；
解决游戏外网运行过程中的问题；
同美术策划合作，在玩法、游戏系统、UI方面实现策划需求。"
28600-微信支付商户管理平台web前端高级开发工程师（深圳）,"负责微信支付商户管理平台前端架构和前沿技术研究的工作；
负责微信支付商户管理平台开发；
负责微信支付商户质量运营平台开发；
负责微信支付服务运营平台开发；"
28601-微信支付行业后台研发工程师（深圳）,"负责架构设计和开发，为亿级用户提供优质顺畅的支付服务和极致体验；
参与设计系统技术方案，核心代码开发和系统调优；
参与行业中台建设，内部系统优化，协助团队攻克各种高并发、数据隔离、系统解耦等方面的技术难关；
参与各专项技术调研，新技术引入等前瞻项目；"
28607-微信支付大数据工程后台开发高级工程师（深圳）,"岗位特色：基于海量微信支付数据，搭建全流程实时推荐系统、金融风控系统及其他实时数据服务，面临高并发、低时延、海量数据存储等系统挑战；参与微信支付业务系统的协同开发；

岗位职责：
1、负责微信支付大数据相关的工程应用平台开发，负责微信支付相关系统的协同建设开发"
CSIG07-电脑管家高级产品经理（深圳）,"负责电脑管家的增长和总体规划；负责用户 PC上的用户痛点挖掘、用户需求分析、产品定位、产品规划、设计及实施等工作；
负责与市场传播沟通配合，提升管家口碑和品牌影响力。"
33370-车联网平台Linux应用框架高级开发工程师,负责腾讯车联网业务车载小场景核心引擎和应用框架的开发和优化。
22989- 经营平台交付管理php后台开发（腾讯云全资子公司)（西安）,负责腾讯云交付管理系统的后台架构的设计与研发。
25926-游戏安全产品经理（深圳）,"内部安全方案搭建把控，外部各游戏项目需求对接；
流程运营管理建设、方案风险控制、整合内部资源线协调运转、链接外部各部门协调合作，独立承担重点业务、为具体业务的整体游戏安全结果负责。
"
TEG04-腾讯微校系统测试工程师(深圳),负责腾讯微校产品需求的测试工作和质量保证工作，包括需求分析、制定测试方案并评估风险等；进行用例设计、接口测试、性能测试、自动化测试等；在项目中保持和项目经理、产品经理、开发的积极有效沟通，快速推动问题解决；推动建设自动化测试体系，协助团队提升测试的质量和效率；
TEG15-腾讯计费平台推荐算法高级工程师(深圳),"负责腾讯重点业务在付费场景的运营活动、包括游戏微商店、积分商城、用户增长、业务运营（推荐）场景挖掘工作；
数据驱动、算法驱动策略开发工作，高效达成业务目标；
以数据挖掘、统计分析、机器学习、深度学习等技术，深入理解业务，驱动业务付费核心指标增长"
S2-大数据运维开发工程师（深圳）,"负责Hadoop, spark,hbase,kafka,flink,ES等大数据系统运维,负责数据中台的建设
负责mysql数据库的日常部署、备份、容灾、性能调优等工作
负责大数据和数据库日常可用性、安全性、性能等保障工作

"
15575-《王者荣耀》营地iOS客户端高级开发工程师（成都）,"负责iOS王者营地App的功能研发和性能优化；
负责高质量的设计和编码，承担重点、难点的技术攻坚。"
PCG09-腾讯看点品类业务iOS开发工程师,"负责QQ看点、快报、浏览器品类相关的iOS 终端研发工作，包括但不限于 游戏直播、小说、漫画等；负责团队类RN动态化框架、flutter框架体系的研发和业务落地工作；与产品、测试及其他团队协作，分析产品需求，制定技术方案、数据上报、问题跟进解决等；技术研究和引入
"
TEG09-存储管理平台开发工程师,"负责分布式存储系统运营管控，自动化平台的设计和开发，提升管控效率；
负责分布式存储系统资源调度装箱平台开发，实现存储资源最优分配；
参与分布式存储系统日常运营质量，硬件故障等监控系统的分析，设计和实现；
通过技术手段控制和优化成本，精细化运营，提高资源使用率；"
TEG12-数据中心空调自控高级工程师,"负责冷机BA的标准制定；
负责AHU的控制逻辑开发等；
负责AI和机器学习用于节能优化等新技术研究；"
WXG01-117 微信开放平台iOS开发工程师（广州）,"负责微信开放业务客户端开发，包括但不局限于公众号、WebView、OpenSDK，扫一扫，小程序客户端相关框架、小程序客户端开放能力等研发工作。
"
WXG01-微信视频号iOS客户端开发工程师,负责微信客户端视频号功能开发，涉及到音视频拍摄、剪辑，以及视频号的业务功能开发。
